singer;word;count
Kanye_West;mind;24
Kanye_West;fresh;24
Kanye_West;hot;24
Kanye_West;face;24
Kanye_West;gave;24
Kanye_West;swear;24
Kanye_West;eyes;24
Kanye_West;long;24
Kanye_West;least;23
Kanye_West;drive;23
Kanye_West;used;23
Kanye_West;live;23
Kanye_West;many;23
Kanye_West;clothes;23
Kanye_West;kill;23
Kanye_West;year;23
Kanye_West;enough;22
Kanye_West;mr;22
Kanye_West;mama;22
Kanye_West;mad;22
Kanye_West;dog;22
Kanye_West;blow;22
Kanye_West;lot;22
Kanye_West;wish;22
Kanye_West;motherfucker;22
Kanye_West;looking;22
Kanye_West;saying;22
Kanye_West;throw;22
Kanye_West;any;22
Kanye_West;talkin;22
Kanye_West;work;22
Kanye_West;myself;22
Kanye_West;while;22
Kanye_West;bring;21
Kanye_West;piss;21
Kanye_West;knew;21
Kanye_West;heart;21
Kanye_West;jay;21
Kanye_West;late;21
Kanye_West;check;21
Kanye_West;west;21
Kanye_West;feeling;21
Kanye_West;dress;21
Kanye_West;crib;20
Kanye_West;into;20
Kanye_West;cut;20
Kanye_West;goin;20
Kanye_West;nothin;20
Kanye_West;soon;20
Kanye_West;extra;20
Kanye_West;were;20
Kanye_West;rock;20
Kanye_West;hood;20
Kanye_West;louis;20
Kanye_West;their;20
Kanye_West;wait;20
Kanye_West;chain;20
Kanye_West;because;19
Kanye_West;wouldnt;19
Kanye_West;gettin;19
Kanye_West;finna;19
Kanye_West;style;19
Kanye_West;chi;19
Kanye_West;asked;19
Kanye_West;music;19
Kanye_West;class;19
Kanye_West;end;19
Kanye_West;gold;19
Kanye_West;lookin;19
Kanye_West;without;19
Kanye_West;light;19
Kanye_West;left;19
Kanye_West;stupid;19
Kanye_West;most;18
Kanye_West;doing;18
Kanye_West;far;18
Kanye_West;brother;18
Kanye_West;room;18
Kanye_West;hurt;18
Kanye_West;party;18
Kanye_West;watch;18
Kanye_West;until;17
Kanye_West;famous;17
Kanye_West;anything;17
Kanye_West;straight;17
Kanye_West;boy;17
Kanye_West;drink;17
Kanye_West;met;17
Kanye_West;felt;17
Kanye_West;power;17
Kanye_West;city;17
Kanye_West;king;17
Kanye_West;drunk;17
Kanye_West;run;17
Kanye_West;haters;17
Kanye_West;dream;17
Kanye_West;believe;17
Kanye_West;use;17
Kanye_West;friend;17
Kanye_West;couple;17
Kanye_West;somethin;16
Kanye_West;free;16
Kanye_West;ah;16
Kanye_West;plus;16
Kanye_West;listen;16
Kanye_West;line;16
Kanye_West;chick;16
Kanye_West;drop;16
Kanye_West;pussy;16
Kanye_West;whatever;16
Kanye_West;find;16
Kanye_West;morning;16
Kanye_West;move;16
Kanye_West;lights;16
Kanye_West;nothing;16
Kanye_West;michael;16
Kanye_West;grave;16
Kanye_West;pop;15
Kanye_West;beats;15
Kanye_West;week;15
Kanye_West;past;15
Kanye_West;times;15
Kanye_West;sometimes;15
Kanye_West;different;15
Kanye_West;die;15
Kanye_West;tonight;15
Kanye_West;step;15
Kanye_West;hes;15
Kanye_West;phone;15
Kanye_West;wanted;15
Kanye_West;rich;15
Kanye_West;ima;15
Kanye_West;fight;14
Kanye_West;star;14
Kanye_West;hop;14
Kanye_West;slow;14
Kanye_West;pass;14
Kanye_West;ring;14
Kanye_West;second;14
Kanye_West;supposed;14
Kanye_West;lost;14
Kanye_West;close;14
Kanye_West;plane;14
Kanye_West;half;14
Kanye_West;matter;14
Kanye_West;shoes;14
Kanye_West;hand;14
Kanye_West;fall;14
Kanye_West;question;14
Kanye_West;child;14
Kanye_West;pain;14
Kanye_West;church;14
Kanye_West;hands;14
Kanye_West;paid;14
Kanye_West;till;14
Kanye_West;very;14
Kanye_West;break;14
Kanye_West;diamonds;14
Kanye_West;okay;14
Kanye_West;cash;14
Kanye_West;else;14
Kanye_West;outta;14
Kanye_West;summer;14
Kanye_West;weed;14
Kanye_West;young;14
Kanye_West;fore;13
Kanye_West;already;13
Kanye_West;change;13
Kanye_West;number;13
Kanye_West;momma;13
Kanye_West;song;13
Kanye_West;store;13
Kanye_West;four;13
Kanye_West;ride;13
Kanye_West;don;13
Kanye_West;picture;13
Kanye_West;ice;13
Kanye_West;cuz;13
Kanye_West;shorty;13
Kanye_West;three;13
Kanye_West;pull;13
Kanye_West;roll;13
Kanye_West;grab;13
Kanye_West;bet;13
Kanye_West;welcome;13
Kanye_West;mouth;13
Kanye_West;body;13
Kanye_West;shes;13
Kanye_West;caught;12
Kanye_West;cars;12
Kanye_West;open;12
Kanye_West;makin;12
Kanye_West;few;12
Kanye_West;ego;12
Kanye_West;favorite;12
Kanye_West;swag;12
Kanye_West;chitown;12
Kanye_West;probably;12
Kanye_West;kiss;12
Kanye_West;fire;12
Kanye_West;must;12
Kanye_West;blame;12
Kanye_West;tv;12
Kanye_West;mine;12
Kanye_West;called;12
Kanye_West;streets;12
Kanye_West;low;12
Kanye_West;doin;12
Kanye_West;news;12
Kanye_West;bought;12
Kanye_West;million;12
Kanye_West;brought;12
Kanye_West;yes;12
Kanye_West;spit;12
Kanye_West;job;12
Kanye_West;chicago;12
Kanye_West;claim;12
Kanye_West;side;12
Kanye_West;business;12
Kanye_West;movie;12
Kanye_West;closed;12
Kanye_West;spend;12
Kanye_West;lose;12
Kanye_West;help;12
Kanye_West;team;11
Kanye_West;almost;11
Kanye_West;has;11
Kanye_West;type;11
Kanye_West;paris;11
Kanye_West;devil;11
Kanye_West;tried;11
Kanye_West;laugh;11
Kanye_West;problem;11
Kanye_West;green;11
Kanye_West;thatll;11
Kanye_West;tour;11
Kanye_West;walk;11
Kanye_West;blood;11
Kanye_West;bed;11
Kanye_West;slaves;11
Kanye_West;death;11
Kanye_West;tight;11
Kanye_West;changed;11
Kanye_West;bust;11
Kanye_West;ball;11
Kanye_West;hundred;11
Kanye_West;both;11
Kanye_West;fast;11
Kanye_West;red;11
Kanye_West;shine;11
Kanye_West;control;11
Kanye_West;vuitton;11
Kanye_West;thinking;11
Kanye_West;living;11
Kanye_West;ones;11
Kanye_West;dude;11
Kanye_West;date;11
Kanye_West;champagne;11
Kanye_West;street;11
Kanye_West;la;11
Kanye_West;christmas;11
Kanye_West;pretty;11
Kanye_West;fake;11
Kanye_West;nice;11
Kanye_West;coming;11
Kanye_West;jackson;11
Kanye_West;place;11
Kanye_West;those;10
Kanye_West;whips;10
Kanye_West;round;10
Kanye_West;asshole;10
Kanye_West;track;10
Kanye_West;fame;10
Kanye_West;fucked;10
Kanye_West;days;10
Kanye_West;floor;10
Kanye_West;c;10
Kanye_West;lies;10
Kanye_West;heres;10
Kanye_West;sell;10
Kanye_West;keys;10
Kanye_West;feelin;10
Kanye_West;super;10
Kanye_West;magic;10
Kanye_West;sex;10
Kanye_West;youve;10
Kanye_West;loving;10
Kanye_West;deep;10
Kanye_West;driving;10
Kanye_West;stars;10
Kanye_West;playing;10
Kanye_West;door;10
