Time,Version
2012-02-01,0.0
2013-02-01,0.1
2013-11-01,0.2
2014-08-20,0.3
2015-10-09,0.4
2016-10-10,0.5
2017-06-27,0.6
2018-08-08,1.0
2019-01-01,1.1
2019-08-01,1.2
2019-11-01,1.3
2020-03-01,1.4
2020-08-03,1.5
2021-03-24,1.6
2021-11-30,1.7
